index,estimator,training score,validation score,scoring,features dropped
0,RandomForestClassifier,0.9988775863970878,0.8215554579122466,accuracy_score,0
1,RandomForestClassifier,0.9988775863970878,0.8226727763480008,accuracy_score,1
2,RandomForestClassifier,0.9988775863970878,0.8226727763480008,accuracy_score,2
3,RandomForestClassifier,0.9988775863970878,0.8316427091833531,accuracy_score,3
4,RandomForestClassifier,0.9988775863970878,0.8181595631159375,accuracy_score,4
5,RandomForestClassifier,0.9988775863970878,0.8271797125102003,accuracy_score,5
6,RandomForestClassifier,0.9988775863970878,0.8249262444291006,accuracy_score,6
7,RandomForestClassifier,0.9988775863970878,0.8249074132195091,accuracy_score,7
8,RandomForestClassifier,0.9988775863970878,0.8226853304877283,accuracy_score,8
9,RandomForestClassifier,0.9988775863970878,0.8294080723118448,accuracy_score,9
10,RandomForestClassifier,0.9988775863970878,0.8193082669010107,accuracy_score,10
11,RandomForestClassifier,0.9988775863970878,0.8215429037725188,accuracy_score,11
12,RandomForestClassifier,0.9988775863970878,0.8316364321134895,accuracy_score,12
13,RandomForestClassifier,0.9988775863970878,0.821568012051974,accuracy_score,13
14,RandomForestClassifier,0.9988775863970878,0.8226853304877283,accuracy_score,14
15,RandomForestClassifier,0.9988775863970878,0.8226853304877283,accuracy_score,15
16,RandomForestClassifier,0.9988775863970878,0.8215742891218379,accuracy_score,16
17,RandomForestClassifier,0.9988775863970878,0.8159312033142928,accuracy_score,17
18,RandomForestClassifier,0.9988775863970878,0.7923984683949532,accuracy_score,18
19,RandomForestClassifier,0.9988775863970878,0.8036155922415416,accuracy_score,19
20,RandomForestClassifier,0.9988775863970878,0.8035779298223588,accuracy_score,20
21,RandomForestClassifier,0.9988775863970878,0.8215491808423829,accuracy_score,21
22,RandomForestClassifier,0.9988775863970878,0.8204381394764922,accuracy_score,22
23,RandomForestClassifier,0.9988775863970878,0.8092147385600402,accuracy_score,23
24,RandomForestClassifier,0.9988775863970878,0.832803967108154,accuracy_score,24
25,RandomForestClassifier,0.9789562223237784,0.6913815830770196,accuracy_score,25
26,RandomForestClassifier,0.8916947696865595,0.6543531479505368,accuracy_score,26
27,RandomForestClassifier,0.8131325149313708,0.6891532232753751,accuracy_score,27
28,rf2,0.7943300187528564,0.7789153223275375,accuracy_score,0
29,rf2,0.7937709787730274,0.7755570899504112,accuracy_score,1
30,rf2,0.7920859794821691,0.775563367020275,accuracy_score,2
31,rf2,0.7895602533999402,0.775563367020275,accuracy_score,3
32,rf2,0.7946124934995351,0.7789153223275375,accuracy_score,4
33,rf2,0.7920847975794634,0.7733098989391751,accuracy_score,5
34,rf2,0.7909627779441196,0.7744397715146569,accuracy_score,6
35,rf2,0.7895626172053516,0.7744397715146569,accuracy_score,7
36,rf2,0.7926489591376839,0.7766806854560292,accuracy_score,8
37,rf2,0.7887187386734323,0.773316176009039,accuracy_score,9
38,rf2,0.7873162141292529,0.7778105580315109,accuracy_score,10
39,rf2,0.7875967190380889,0.775563367020275,accuracy_score,11
40,rf2,0.7870361031879856,0.7744460485845208,accuracy_score,12
41,rf2,0.7875967190380889,0.775563367020275,accuracy_score,13
42,rf2,0.7904053138345652,0.7710940932772582,accuracy_score,14
43,rf2,0.7845111650408938,0.773316176009039,accuracy_score,15
44,rf2,0.7923700300991223,0.7800326407632917,accuracy_score,16
45,rf2,0.7859136895850733,0.7733287301487666,accuracy_score,17
46,rf2,0.7878791937847677,0.7833845960705543,accuracy_score,18
47,rf2,0.787878799817199,0.7845019145063085,accuracy_score,19
48,rf2,0.7892832941992216,0.7766806854560292,accuracy_score,20
49,rf2,0.7867552043115811,0.7867365513778168,accuracy_score,21
50,rf2,0.7867552043115811,0.7867365513778168,accuracy_score,22
51,rf2,0.7873166080968215,0.7867365513778168,accuracy_score,23
52,rf2,0.7904057078021337,0.7722051346431487,accuracy_score,24
53,rf2,0.721668610240005,0.6959387357981294,accuracy_score,25
54,rf2,0.6913622610586696,0.6813571025045508,accuracy_score,26
55,rf2,0.6823864979434893,0.6667629150712446,accuracy_score,27
56,rf4,0.8465240241423325,0.8035842068922227,accuracy_score,0
57,rf4,0.8493282852955545,0.808097420124286,accuracy_score,1
58,rf4,0.847925760751375,0.8204193082669011,accuracy_score,2
59,rf4,0.8487641237373339,0.8024543343167411,accuracy_score,3
60,rf4,0.8448390248514743,0.8114556525014125,accuracy_score,4
61,rf4,0.8428727327166428,0.8125666938673028,accuracy_score,5
62,rf4,0.8487653056400397,0.8114556525014123,accuracy_score,6
63,rf4,0.8493286792631232,0.8058376749733224,accuracy_score,7
64,rf4,0.8470814882518871,0.8047140794677045,accuracy_score,8
65,rf4,0.8462407614605165,0.8103132257862031,accuracy_score,9
66,rf4,0.8479241848811006,0.8159500345238844,accuracy_score,10
67,rf4,0.8445585199426382,0.8103069487163392,accuracy_score,11
68,rf4,0.8549387774398411,0.8170610758897746,accuracy_score,12
69,rf4,0.842874308586917,0.8024731655263324,accuracy_score,13
70,rf4,0.8417515010164364,0.8013621241604418,accuracy_score,14
71,rf4,0.8465232362071955,0.8137028435126483,accuracy_score,15
72,rf4,0.8484863766014781,0.8170610758897746,accuracy_score,16
73,rf4,0.8459606505192492,0.8136902893729208,accuracy_score,17
74,rf4,0.8496083962368217,0.820475801895675,accuracy_score,18
75,rf4,0.8487656996076083,0.8282907538760907,accuracy_score,19
76,rf4,0.8414725719778747,0.8237900947837549,accuracy_score,20
77,rf4,0.8414717840427377,0.8204193082669009,accuracy_score,21
78,rf4,0.8400700474336953,0.8091959073504487,accuracy_score,22
79,rf4,0.8482070535953481,0.815931203314293,accuracy_score,23
80,rf4,0.854378949524875,0.817048521750047,accuracy_score,24
81,rf4,0.7483209102226704,0.7139037097482894,accuracy_score,25
82,rf4,0.7286808389933341,0.6914380767057937,accuracy_score,26
83,rf4,0.7098846462959169,0.6880986755382588,accuracy_score,27
84,rf6,0.9012343003923917,0.8215617349821102,accuracy_score,0
85,rf6,0.9037604204421891,0.8282719226664993,accuracy_score,1
86,rf6,0.9048840159478072,0.8305128366078716,accuracy_score,2
87,rf6,0.9034818853711961,0.8226602222082733,accuracy_score,3
88,rf6,0.8967458278834485,0.8181721172556651,accuracy_score,4
89,rf6,0.9001122807570481,0.830525390747599,accuracy_score,5
90,rf6,0.9001138566273225,0.830525390747599,accuracy_score,6
91,rf6,0.8984300392391699,0.8237838177138912,accuracy_score,7
92,rf6,0.8995500890366707,0.813684012303057,accuracy_score,8
93,rf6,0.8981471705249223,0.8361370912058252,accuracy_score,9
94,rf6,0.9001107048867738,0.821568012051974,accuracy_score,10
95,rf6,0.90488322801267,0.8238026489234824,accuracy_score,11
96,rf6,0.8987105441480058,0.8316740945326722,accuracy_score,12
97,rf6,0.9001142505948911,0.8294206264515724,accuracy_score,13
98,rf6,0.8967446459807429,0.8361433682756889,accuracy_score,14
99,rf6,0.8956218384102621,0.8305379448873266,accuracy_score,15
100,rf6,0.8953425154041319,0.8260372857949909,accuracy_score,16
101,rf6,0.8905703862458042,0.8271608813006088,accuracy_score,17
102,rf6,0.8888897205982003,0.813709120582512,accuracy_score,18
103,rf6,0.8886092156893645,0.8339212855439081,accuracy_score,19
104,rf6,0.886365570386246,0.827185989580064,accuracy_score,20
105,rf6,0.8891698315394677,0.8305442219571904,accuracy_score,21
106,rf6,0.8908544368627573,0.819295712761283,accuracy_score,22
107,rf6,0.8905719621160785,0.8249325214989642,accuracy_score,23
108,rf6,0.8947822935215972,0.8372669637813068,accuracy_score,24
109,rf6,0.7954614936098461,0.7071684137844454,accuracy_score,25
110,rf6,0.7811486518429802,0.684690226602222,accuracy_score,26
111,rf6,0.7640350946310099,0.7004331178206014,accuracy_score,27
